location,horn,bray,turnover,nestedness,alpha,gamma,prop_resident,region,state_area,log_state_area,latitude,longitude,jan_temp,jul_temp,temp_range
NV,0.01498570938553637,0.09992953191859523,0.06220692055816472,0.0377226113604305,268.1041666666667,445.0,0.3146067415730337,nevada,286297.4946,12.564786740087385,39.1063,-116.851,-2.5,19.3,21.8
NY,0.009983232036576459,0.06632690946316927,0.044577706948888955,0.021749202514280322,282.9791666666667,446.0,0.3094170403587444,new york,128401.34423999999,11.762916139342074,43.1361,-75.1449,-7.1,20.3,27.4
OH,0.013234183919359441,0.07683457033465818,0.05105608283779809,0.02577848749686009,228.89583333333334,376.0,0.24202127659574468,ohio,106764.56778,11.578381388103374,40.221,-82.5963,-4.4,21.9,26.299999999999997
OK,0.013725301369327064,0.0858161381381867,0.05260047353100099,0.03321566460718571,236.875,430.0,0.18604651162790697,oklahoma,181089.51080999998,12.106746722867777,35.5053,-97.1239,2.7,27.8,25.1
OR,0.007330610101362969,0.06049370838153016,0.04083619553270909,0.01965751284882107,311.1875,487.0,0.3737166324435318,oregon,251179.82018999997,12.433924376710726,43.9078,-120.068,-3.2,17.4,20.599999999999998
PA,0.010347669389882587,0.06616650269258068,0.04210160428205683,0.024064898410523845,232.29166666666666,399.0,0.2556390977443609,pennsylvania,117412.01667,11.673444537782002,40.9069,-77.45,-4.4,21.1,25.5
RI,0.019397657248582566,0.09792954606314769,0.07104777966824394,0.02688176639490375,191.04166666666666,374.0,0.17647058823529413,rhode island,3144.24786,8.053329986319575,41.5928,-71.1244,-1.4,22.4,23.799999999999997
SC,0.008950146723002851,0.06918903081453628,0.03854667856025866,0.030642352254277617,252.91666666666666,409.0,0.3105134474327628,south carolina,80432.13944999999,11.295169119693535,33.619,-80.5056,7.5,27.0,19.5
SD,0.026811318242667644,0.12424252262379878,0.09029596476321887,0.0339465578605799,200.95833333333334,396.0,0.14898989898989898,south dakota,199550.95953,12.203824918934375,44.3365,-99.7238,-10.6,23.3,33.9
TN,0.010142807314539516,0.06401632946443052,0.043063366046658835,0.020952963417771694,215.8125,373.0,0.20911528150134048,tennessee,109411.53756,11.602871625566497,35.6767,-86.456,2.7,25.4,22.7
TX,0.007598844066744131,0.061702259877281715,0.039091664288652454,0.02261059558862926,450.3333333333333,610.0,0.4377049180327869,texas,692405.33661,13.447926809663501,31.3897,-98.7857,7.3,28.4,21.099999999999998
UT,0.01104462073699612,0.07698065085072346,0.051785835969353045,0.02519481488137042,265.7708333333333,435.0,0.3103448275862069,utah,219931.59084,12.301071826252024,39.1063,-111.33,-6.4,18.0,24.4
VA,0.009363031886203915,0.06362977871165933,0.044898050965104096,0.01873172774655523,261.6666666666667,423.0,0.30260047281323876,virginia,105710.44184999999,11.568458954585587,37.563,-78.2005,1.7,24.4,22.7
VT,0.014069344416077892,0.07955844139066785,0.05266099033482791,0.026897451055839943,186.35416666666666,346.0,0.20809248554913296,vermont,24887.21391,10.1221094529774,44.2508,-72.545,-9.3,19.1,28.400000000000002
WA,0.006818566025005573,0.05918325255983103,0.04094127845729693,0.0182419741025341,303.8333333333333,464.0,0.3728448275862069,washington,176616.59808,12.081736549598475,47.4231,-119.746,-4.1,21.4,25.5
WI,0.01229725969362921,0.07291110870243211,0.04549404033151269,0.027417068370919423,240.39583333333334,405.0,0.24938271604938272,wisconsin,145438.29846,11.887507210085444,44.5937,-89.9941,-10.9,20.8,31.700000000000003
WV,0.014455507955600405,0.08571799101291719,0.05931760254489865,0.026400388468018534,178.85416666666666,322.0,0.21739130434782608,west virginia,62628.548189999994,11.044976494506729,38.4204,-80.6665,-2.3,20.5,22.8
WY,0.021336548623196512,0.10754317949229128,0.07431091748705745,0.033232262005233826,187.6875,381.0,0.17060367454068243,wyoming,253596.28085999997,12.44349883605912,43.0504,-107.256,-7.0,20.2,27.2
